gene	t	p	model_p	fdr	variable
LIMK2	-3.2686873994263728	0.001387737919567014	0.09047936935810463	0.0033360632484712312	is_normal
LIMS1	-3.881565477512498	1.653535644725633e-4	0.11201498569152227	4.835365076877697e-4	is_normal
LIMS2	0.9030519898683044	0.36819461734366576	6.300058283574986e-8	0.4488795352199098	is_normal
LIMS3	0.763959520658879	0.44629731603557365	4.727744660359597e-18	0.5263387545044191	is_normal
LIN28A	4.794220411428264	4.456881605608284e-6	3.891931017897205e-9	1.773189598707847e-5	is_normal
LIN37	3.9870379820520396	1.1179214536186662e-4	2.5885992220118402e-5	3.3842640439085377e-4	is_normal
LIN52	3.046756250009816	0.0028101167570228408	4.8287762302976307e-14	0.006303751248004755	is_normal
LIN54	-3.063428139673515	0.0026683561607204636	0.008373225003665314	0.006008704860478231	is_normal
LIN7A	1.4071667219552713	0.1618015494362326	0.024353814082496344	0.2253515946486845	is_normal
LIN7B	-0.24816886320364884	0.8044014527647078	0.995865228303557	0.8451222897457886	is_normal
LIN7C	4.777113333474014	4.790658453011616e-6	2.7380294086231587e-9	1.8952823952790478e-5	is_normal
LIN9	-2.77332558001181	0.006378507627513067	0.07433848774293762	0.013158531618637701	is_normal
LINC-PINT	0.4377806926419802	0.6622831012001575	0.0084140103285141	0.7243785673791229	is_normal
LINC00092	1.1737082687047884	0.242691183047013	0.012397358887656697	0.3172018710235028	is_normal
LINC00113	2.9294508967881807	0.004021585736267812	0.0027747636321837454	0.008688055525906178	is_normal
LINC00115	4.3717421210184675	2.5265254053594276e-5	2.435716376347853e-8	8.702956737307517e-5	is_normal
LINC00173	0.8522334812330512	0.395676275597737	2.469440805752446e-4	0.47640036070329417	is_normal
LINC00174	6.02475106362341	1.680028116419324e-8	1.0615182036276003e-9	1.0235605800510641e-7	is_normal
LINC00189	2.6300390055845027	0.009584528814006793	6.356767622804629e-10	0.018895520431866777	is_normal
LINC00235	2.649370613330867	0.009080397012441767	0.03419879228463078	0.018012521776369562	is_normal
LINC00239	-2.741456473914423	0.006992557408769057	0.002768222772123852	0.014297608677361223	is_normal
LINC00240	0.3602420221391598	0.7192598992992862	6.052601849342335e-7	0.7754426211403521	is_normal
LINC00265	1.0005821165220747	0.3189166753884807	5.845765416503497e-5	0.39870242987708215	is_normal
LINC00294	1.276444795835999	0.20410938828415434	0.172055732174184	0.2741953765205246	is_normal
LINC00310	1.9103732909325213	0.05832198825398026	0.0024911402838211512	0.09289854848819823	is_normal
LINC00311	1.9024437910460346	0.05935965712417652	6.454435872174876e-7	0.09424248402364754	is_normal
LINC00324	-7.204727080673708	4.4432714499247675e-11	2.1254221579989843e-9	3.985651258583057e-10	is_normal
LINC00327	2.2110926895771024	0.02880499854607155	6.450029094849588e-7	0.04997784283566121	is_normal
LINC00330	1.0213742659425469	0.3090036841826695	2.073366683317962e-7	0.3882728415071046	is_normal
LINC00339	-3.6784349188668224	3.442745083733201e-4	0.0533278503418129	9.411282971865814e-4	is_normal
LINC00342	-0.3740203073698969	0.7090080400575691	0.2840654095612529	0.7660309208380943	is_normal
LINC00368	7.5400160081206495	7.603561290603179e-12	1.73467143389826e-18	7.675457428881088e-11	is_normal
LINC00410	8.548923630654425	3.212619300128023e-14	3.435733630860274e-32	4.641890586907556e-13	is_normal
LINC00426	-7.946052233991272	8.638810749786418e-13	3.562774848904598e-10	1.0119544562426452e-11	is_normal
LINC00458	4.544752972368084	1.2570521661195101e-5	2.992542175334663e-13	4.5880287813924204e-5	is_normal
LINC00460	-2.8751098906120434	0.004731691699959481	2.9190457194734084e-5	0.010068068437146058	is_normal
LINC00462	-2.980990649638637	0.0034398669995130138	3.0621540407212377e-21	0.007540518698091165	is_normal
LINC00467	3.2717755521372776	0.0013738373829203124	5.971016484834603e-4	0.0033088559904483066	is_normal
LINC00471	-1.0728751491627142	0.285345672430908	0.5099620466858621	0.3633406718981075	is_normal
LINC00472	12.333397791394793	1.6197256805154894e-23	1.7661056692731113e-41	1.2895578694815975e-21	is_normal
LINC00475	-2.2604234550783735	0.025483903363000163	3.9338631010765827e-7	0.044884285238270004	is_normal
LINC00488	4.618989075444075	9.267161578803952e-6	5.5467007389146145e-19	3.4806194287981155e-5	is_normal
LINC00491	5.236929278645328	6.513100678014926e-7	5.963869065561575e-13	3.0411734511128677e-6	is_normal
LINC00494	1.6056874957718688	0.11080692504848721	0.2081650099881202	0.1626892256494355	is_normal
LINC00501	2.2622294679244916	0.025368953135017847	4.38431161434271e-6	0.04471535804611276	is_normal
LINC00506	4.814289419052259	4.093996875130837e-6	2.987702176754263e-11	1.6441323443814125e-5	is_normal
LINC00507	8.453065412447325	5.445757434645933e-14	1.727550440628179e-30	7.643587028787898e-13	is_normal
LINC00526	3.3536731652900724	0.001049337284477331	3.7547984911786645e-10	0.002590166581337283	is_normal
LINC00528	-6.209758848199761	6.846368354217733e-9	7.366598866967562e-7	4.4195612848207196e-8	is_normal
LINC00539	-3.9156639826965534	1.4581254469392494e-4	1.1094692340356598e-6	4.3131620063534645e-4	is_normal
LINC00547	4.193533994705817	5.089417836603416e-5	5.260441234195896e-6	1.6536794132675892e-4	is_normal
LINC00571	3.2703897031543208	0.0013800592835163195	0.9645544981052755	0.0033195823280201125	is_normal
